Id,Source,Status (leads),Acquisition Campaign,City,Use Case,Status (offers),Price,Pain,Has_discount_code,Is_in_leads,created_days_leads,created_days_offers
004plaq7,Inbound,Qualified,N/A,N/A,Sports Events,Closed Lost,0.0,operations,False,True,456.0,597
006hvqrh,Inbound,Qualified,Branding book,N/A,Corporate Events,Closed Lost,240.0,operations,True,True,550.0,550
00dsslbf,Inbound,Qualified,N/A,N/A,Educational Seminars,Closed Lost,768.0,N/A,True,True,436.0,439
00ik2lit,Inbound,Qualified,VirtualMeetups,N/A,Corporate Events,Closed Won,360.0,financial control,True,True,429.0,460
00m6eiel,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,240.0,N/A,True,True,405.0,405
00mlqxtx,Outbound,Qualified,N/A,N/A,Sports Events,Closed Lost,240.0,financial control,False,True,196.0,197
00w76qma,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Lost,150.0,operations,False,True,339.0,339
012yhwvs,Outbound,Qualified,EducationExpo 2,Columbus,Corporate Events,Demo 1,360.0,operations,False,True,632.0,489
015kiuq9,Outbound,Qualified,N/A,N/A,Concerts and festivals,Checkbox,398.0,N/A,False,True,538.0,554
0168htfr,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,960.0,financial control,True,False,-1000.0,413
01h6ll2r,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,360.0,financial control,True,True,285.0,292
01j48u0z,N/A,N/A,N/A,N/A,Educational Seminars,Checkbox,360.0,operations,True,False,-1000.0,691
01jjz8o8,Outbound,Qualified,TradeShow 3,N/A,Sports Events,Closed Won,240.0,operations,True,True,456.0,456
01n5czo2,Inbound,Qualified,TradeShow 8,Jacksonville,Corporate Events,Checkbox,240.0,N/A,True,True,846.0,846
01sd0dbx,Inbound,Qualified,N/A,Houston,Educational Seminars,Closed Won,240.0,financial control,True,True,278.0,377
024laath,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,1344.0,quality of delivery,True,False,-1000.0,175
02bdv0eb,N/A,N/A,N/A,N/A,Sports Events,Closed Won,360.0,quality of delivery,True,False,-1000.0,249
03uvmctv,Outbound,Qualified,VirtualMeetups,N/A,Corporate Events,Closed Lost,0.0,operations,False,True,624.0,489
040vq2ur,Inbound,Qualified,N/A,Dallas,Sports Events,Closed Won,120.0,operations,True,True,277.0,296
042ykqwp,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,360.0,operations,True,False,-1000.0,160
046o4cth,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Lost,360.0,operations,False,True,228.0,230
04lk2hvc,Inbound,Qualified,ArtFair,N/A,Educational Seminars,Closed Lost,324.0,N/A,True,True,648.0,649
04rxjm1q,Inbound,Qualified,N/A,Fort Worth,Corporate Events,Closed Won,360.0,quality of delivery,True,True,231.0,236
04wh7ppy,Outbound,Qualified,TradeShow 7,San Francisco,Educational Seminars,Closed Won,360.0,financial control,True,True,551.0,613
0565dpo2,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,False,-1000.0,122
05evbkgy,Outbound,Qualified,VirtualMeetups,Chicago,Corporate Events,Closed Won,240.0,operations,True,True,583.0,705
05neiilh,Outbound,Qualified,N/A,San Diego,Corporate Events,Closed Lost,0.0,operations,False,True,498.0,502
05w9zr9q,N/A,N/A,N/A,N/A,Sports Events,Closed Won,360.0,financial control,True,False,-1000.0,691
06a6um89,Inbound,Qualified,N/A,Columbus,Educational Seminars,Closed Won,768.0,quality of delivery,True,True,276.0,350
06oahkj6,Outbound,Qualified,N/A,San Antonio,Sports Events,Closed Lost,120.0,operations,False,True,636.0,475
06thktew,Inbound,Qualified,N/A,San Francisco,Corporate Events,Closed Lost,18150.0,operations,False,True,413.0,413
06xneadd,Outbound,Qualified,N/A,N/A,Corporate Events,Closed Won,240.0,operations,True,True,685.0,688
0799hn7a,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,240.0,operations,True,True,542.0,665
07a7w3o8,Inbound,Qualified,EducationExpo 2,N/A,Corporate Events,Closed Lost,360.0,financial control,True,True,600.0,600
07gu6np8,Inbound,Qualified,N/A,Chicago,Sports Events,Closed Won,150.0,financial control,True,True,541.0,604
07lmbhc4,Inbound,Qualified,EducationExpo 2,N/A,Educational Seminars,Closed Lost,768.0,operations,True,True,672.0,615
07w9nv6d,Inbound,Qualified,N/A,Seattle,Corporate Events,Closed Won,768.0,operations,True,True,126.0,604
080m7228,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,1344.0,operations,True,False,-1000.0,6
08be9sy1,Inbound,Qualified,Digital kit 2,N/A,Educational Seminars,Closed Won,768.0,operations,True,True,613.0,643
08ive333,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,1344.0,financial control,True,False,-1000.0,969
08j2vqgw,Inbound,Qualified,N/A,Los Angeles,Sports Events,Closed Won,240.0,operations,True,True,543.0,574
08j5pqbu,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,360.0,quality of delivery,True,False,-1000.0,0
08plxsu0,Outbound,Qualified,N/A,Chicago,Educational Seminars,Closed Lost,0.0,operations,False,True,537.0,538
08rhrven,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,True,92.0,122
09kphjag,Outbound,Qualified,VirtualMeetups,Indianapolis,Corporate Events,Closed Lost,240.0,financial control,True,True,707.0,707
0awv8dsk,Outbound,Qualified,N/A,San Antonio,Corporate Events,Closed Won,768.0,quality of delivery,True,True,496.0,496
0bcbcrzl,Inbound,Qualified,N/A,Phoenix,Corporate Events,Closed Won,768.0,operations,True,True,525.0,525
0bjfl3lr,Inbound,Qualified,VirtualMeetups,Fort Worth,Sports Events,Closed Lost,300.0,operations,True,True,602.0,488
0boooh5l,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,True,999.0,1030
0btrb0a8,Outbound,Qualified,N/A,Denver,Educational Seminars,Closed Lost,240.0,operations,True,True,532.0,537
0bxzarzt,Outbound,Qualified,TradeShow 8,Chicago,Corporate Events,Closed Lost,200.0,financial control,False,True,619.0,621
0c0i09yn,Outbound,Qualified,VirtualMeetups,Chicago,Corporate Events,Demo 1,360.0,financial control,False,True,713.0,715
0c15eea3,Outbound,Qualified,EducationExpo 2,Washington,Educational Seminars,Closed Lost,768.0,financial control,True,True,641.0,702
0cfxb9r5,Outbound,Qualified,Digital kit 3,N/A,Corporate Events,Closed Won,1344.0,quality of delivery,True,True,721.0,721
