Id,Source,Status (leads),Acquisition Campaign,City,Use Case,Status (offers),Price,Pain,Has_discount_code,Is_in_leads,created_days_leads,created_days_offers,days_difference
004plaq7,1,10,71,20,3,1,0.0,1,0,1,456.0,597,141.0
006hvqrh,1,10,5,20,1,1,240.0,1,1,1,550.0,550,0.0
00dsslbf,1,10,71,20,2,1,768.0,4,1,1,436.0,439,3.0
00ik2lit,1,10,65,20,1,2,360.0,0,1,1,429.0,460,31.0
00m6eiel,1,10,71,20,1,2,240.0,4,1,1,405.0,405,0.0
00mlqxtx,5,10,71,20,3,1,240.0,0,0,1,196.0,197,1.0
00w76qma,1,10,71,20,1,1,150.0,1,0,1,339.0,339,0.0
012yhwvs,5,10,18,3,1,3,360.0,1,0,1,632.0,489,-143.0
015kiuq9,5,10,71,20,0,0,398.0,4,0,1,538.0,554,16.0
0168htfr,6,12,71,20,1,2,960.0,0,1,0,-1000.0,413,1413.0
01h6ll2r,1,10,71,2,1,2,360.0,0,1,1,285.0,292,7.0
01j48u0z,6,12,71,20,2,0,360.0,1,1,0,-1000.0,691,1691.0
01jjz8o8,5,10,59,20,3,2,240.0,1,1,1,456.0,456,0.0
01n5czo2,1,10,64,9,1,0,240.0,4,1,1,846.0,846,0.0
01sd0dbx,1,10,71,7,2,2,240.0,0,1,1,278.0,377,99.0
024laath,6,12,71,20,1,2,1344.0,2,1,0,-1000.0,175,1175.0
02bdv0eb,6,12,71,20,3,2,360.0,2,1,0,-1000.0,249,1249.0
03uvmctv,5,10,65,20,1,1,0.0,1,0,1,624.0,489,-135.0
040vq2ur,1,10,71,4,3,2,120.0,1,1,1,277.0,296,19.0
042ykqwp,6,12,71,20,1,2,360.0,1,1,0,-1000.0,160,1160.0
046o4cth,1,10,71,20,1,1,360.0,1,0,1,228.0,230,2.0
04lk2hvc,1,10,3,20,2,1,324.0,4,1,1,648.0,649,1.0
04rxjm1q,1,10,71,6,1,2,360.0,2,1,1,231.0,236,5.0
04wh7ppy,5,10,63,16,2,2,360.0,0,1,1,551.0,613,62.0
0565dpo2,6,12,71,20,1,2,768.0,1,1,0,-1000.0,122,1122.0
05evbkgy,5,10,65,2,1,2,240.0,1,1,1,583.0,705,122.0
05neiilh,5,10,71,15,1,1,0.0,1,0,1,498.0,502,4.0
05w9zr9q,6,12,71,20,3,2,360.0,0,1,0,-1000.0,691,1691.0
06a6um89,1,10,71,3,2,2,768.0,2,1,1,276.0,350,74.0
06oahkj6,5,10,71,14,3,1,120.0,1,0,1,636.0,475,-161.0
06thktew,1,10,71,16,1,1,18150.0,1,0,1,413.0,413,0.0
06xneadd,5,10,71,20,1,2,240.0,1,1,1,685.0,688,3.0
0799hn7a,1,10,71,20,1,2,240.0,1,1,1,542.0,665,123.0
07a7w3o8,1,10,18,20,1,1,360.0,0,1,1,600.0,600,0.0
07gu6np8,1,10,71,2,3,2,150.0,0,1,1,541.0,604,63.0
07lmbhc4,1,10,18,20,2,1,768.0,1,1,1,672.0,615,-57.0
07w9nv6d,1,10,71,18,1,2,768.0,1,1,1,126.0,604,478.0
080m7228,6,12,71,20,1,2,1344.0,1,1,0,-1000.0,6,1006.0
08be9sy1,1,10,14,20,2,2,768.0,1,1,1,613.0,643,30.0
08ive333,6,12,71,20,1,2,1344.0,0,1,0,-1000.0,969,1969.0
08j2vqgw,1,10,71,10,3,2,240.0,1,1,1,543.0,574,31.0
08j5pqbu,6,12,71,20,1,2,360.0,2,1,0,-1000.0,0,1000.0
08plxsu0,5,10,71,2,2,1,0.0,1,0,1,537.0,538,1.0
08rhrven,1,10,71,20,1,2,768.0,1,1,1,92.0,122,30.0
